Directors,Project Title,Country of Origin
Gilbert Brüning,Bésame Mucho & the East Side Gallery Berlin,Germany
Faiyaz Jafri,Shine,United States
Faiyaz Jafri,Are You OK?,United States
Patrick Chemali,Clotheslined,Lebanon
Pierre Villemin,36000,France
Julian Rodriguez,THE WAY OF THE FISH,Spain
Guillaume Marin,La modernité devient liquide /The Modern Sea is Dying,Canada
"Martin Del Carpio, Martin Gerigk",Howl,United States
Martin Del Carpio,The Dark Forest,United States
Martin Del Carpio,LOS,United States
Martin Del Carpio,A Poet's Seat,United States
Kang Le,"I've travelled 9,000 km to see you",Taiwan
Kang Le,The Garden of Forking Paths,Taiwan
Morgane Billuart,Gifted,Netherlands
meizhu yan ,8,China
Jorge Marcelo Espinoza,Mexican Symphony,Mexico
Philippe Safire,SPELL,United States
Héctor Maya,Metropolitan,Mexico
"Pamela Falkenberg, Jack Cochran",The Names of Trees (with Spanish subtitles),United States
Enzo Cillo,Propagation and Detection,Italy
"Ana Baer, Rocio Luna",Sympoiesis,Mexico
"Ana Baer, Rocio Luna",IXCHEL,Mexico
"Ana Baer, Olivia",Being Together,United States
Andrew Payne,Landscape with water,United Kingdom
Elliot Eugenie,Liesse,France
Fanny Leiva Torres,Ojo-Piel,Chile
Roman Duneshenko,In the Dark,Russian Federation
Francesco Bo Coppola,God Luck Hope,Italy
"Isabel García, Elsa Blueve",CUNT-CENTRISM,Spain
Olaf Viana,Fin del eclipse,Mexico
Hiroshi Atobe,Video Ladder,Not Specified
Liliana Paganini,the words,Italy
Laura R. Tolentino,T́͋̐ʜ͕̪͐̽̚ᴇ͇͇̼͒͌͝ʏ͌͜͝ ᴘ͓͐̈́͘͜ʀ͎̺̺͊̓̓ᴏ͓͓͇͒͠ᴍ̡̫͖̀́͝ɪ̻̠̺̔̀s͖͆͊͜͠ᴇ͍̙̺̓͊̕ᴅ̙̟̺͐͊͒ ᴜ͎͕̪̾͌̕s͎͓͐͑͘ ᴀ̟͛̓͛ ғ͉͔̪̿͛͝ᴜ̪͉̫̀͑͝ᴛ͚͔̒͋͛ᴜ͍͑̔͒ʀ͙̙͛͛͜ᴇ̽,Mexico
Luis Carlos Rodríguez,Collage 38.2 (versión múltiple),Spain
Luis Carlos Rodríguez,AbstrArt 22,Spain
Tymoteusz Mierzwiński,Talking Heads - Silence,Poland
Victor Volkov,The three naughty,Mexico
Amelia Johannes,Resetting memories (taking/the waterfall),Australia
Walter A. Lagarda-Parra,X,Mexico
Guido Devadder,Hungry Ghost,Belgium
Nicole Rayburn,nobody cares work harder,Canada
Finn Harvor,Walk/ night/ flight (new cut),"Korea, Republic of"
Jared Donovan Paolini,Unearth Arcana,United States
Nate Dorr,Triboro,United States
Nate Dorr,Algorithmia,United States
Efi Amanatidou,The world where we live in is not the real world,Greece
Philipp Ramspeck,PRISON TIME IS OVER,Switzerland
Dimitris Nikou,Wayfarer,Greece
Alexandre Dacosta,AKANGATUMIRIMUSIKA,Brazil
Alexandre Dacosta,[ technopoetics ],Brazil
Mody Gao,Rendezvous for the Old,China
Jorge Luis González Reyes,Eternity starts in Monday ,Mexico
Carlos Vázquez,When the barbarians arrive :: The mass,Mexico
Serkan Aktaş,Resurrection under the Ocean,Turkey
Brandon Polanco,Alchemy,United Stateseli
Mona Rossi,Lettere,France
Alma Llerena,Inaka,Spain
Alexandre Ries,Puu O))),France
Yaniv Touati,The escape,France
Mont Carver,The hangover of love,Mexico
Mikhail Gulkov,Fusion,Russian Federation
Dustin Chang,ceremony,United States
"Filipe dos Santos Barrocas, Lucas Eskinazi, Yuji Kodato, Léo Bortolin",Labyrinth,Brazil
Paloma González H,Causal leaker,Uruguay
patrick connelly,Pin and Tumbler,United States
Matthew Sanabria,Avrocar,Mexico
Eva Rini May Cragg,Ben and Mimi - Mimi and Ben,United States
"Jacklyn Brickman, Carter John Rice",käˌnekˈtivədē : connectivity ,United States
Michael Cook,I Am The Same,United States
"Mariola Groener, Günther Wilhelm",FRAMES FRAGMENTS FREQUENCIES | CHAPTER #3,Germany
Théo Michel,Of  Light and of Breath,France
Michelle Longpre,Planeta Carnom,Canada
Can Ege İlhan,Sun of God,Turkey
Tatjana Evonuk,"""The Inner Project""",Ireland
Joshua Albers,Transfer,United States
Dina Yanni,"The Dark, Debra",Austria
